Source,Source Port,Destination,Destination Port,Interface id,Protocol,Epoch Arrival Time,Time shift for this packet,Time delta from previous captured frame,Time delta from previous displayed frame,Time since reference or first frame,Frame Number,Frame length on the wire,Frame length stored into the capture file,Total Length,Time to Live,Time data,Frame is marked,Version,Header Length,Reserved bit,Don't fragment,More fragments,Hardware Size,Protocol Size,Label
192.168.0.111,51977,224.0.0.251,5353,0,MDNS,1739168020,0,0.005959424,0.005959424,0.260478257,78,88,88,74,1,11:43:40,0,4,20,0,1,0,0,0,anomaly
TpLinkPte_41:24:87,0,Broadcast,0,0,ARP,1739168020,0,0.006809984,0.006809984,0.267288241,79,42,42,0,0,11:43:40,0,0,0,0,0,0,6,4,anomaly
TpLinkPte_41:24:87,0,Broadcast,0,0,ARP,1739168020,0,0.000849591,0.000849591,0.268137832,80,42,42,0,0,11:43:40,0,0,0,0,0,0,6,4,anomaly
TpLinkPte_41:24:87,0,Broadcast,0,0,ARP,1739168020,0,0.000661747,0.000661747,0.268799579,81,42,42,0,0,11:43:40,0,0,0,0,0,0,6,4,anomaly
192.168.0.111,0,224.0.0.22,0,0,IGMPv3,1739168020,0,2.44E-05,2.44E-05,0.268823982,82,54,54,40,1,11:43:40,0,4,24,0,1,0,0,0,normal
192.168.0.111,35742,224.0.0.251,5353,0,MDNS,1739168020,0,0.004320453,0.004320453,0.273144435,83,87,87,73,1,11:43:40,0,4,20,0,1,0,0,0,anomaly
::,0,ff02::16,0,0,ICMPv6,1739168020,0,0.004627368,0.004627368,0.277771803,84,90,90,0,0,11:43:40,0,6,0,0,0,0,0,0,normal
192.168.0.111,44616,224.0.0.251,5353,0,MDNS,1739168020,0,0.006910671,0.006910671,0.284682474,85,88,88,74,1,11:43:40,0,4,20,0,1,0,0,0,anomaly
Intel_54:87:d3,0,TpLinkPte_41:24:87,0,0,ARP,1739168020,0,0.004157608,0.004157608,0.288840082,86,42,42,0,0,11:43:40,0,0,0,0,0,0,6,4,anomaly
192.168.0.111,59348,224.0.0.251,5353,0,MDNS,1739168020,0,0.003252811,0.003252811,0.292092893,87,71,71,57,1,11:43:40,0,4,20,0,1,0,0,0,anomaly
TpLinkPte_41:24:87,0,Broadcast,0,0,ARP,1739168020,0,0.004220312,0.004220312,0.296313205,88,42,42,0,0,11:43:40,0,0,0,0,0,0,6,4,anomaly
TpLinkPte_41:24:87,0,Broadcast,0,0,ARP,1739168020,0,3.55E-05,3.55E-05,0.296348746,89,42,42,0,0,11:43:40,0,0,0,0,0,0,6,4,anomaly
TpLinkPte_41:24:87,0,Broadcast,0,0,ARP,1739168020,0,0.00321783,0.00321783,0.299566576,90,42,42,0,0,11:43:40,0,0,0,0,0,0,6,4,anomaly
192.168.0.111,38412,224.0.0.251,5353,0,MDNS,1739168020,0,0.003890606,0.003890606,0.303457182,91,81,81,67,1,11:43:40,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,56314,224.0.0.251,5353,0,MDNS,1739168020,0,0.010272812,0.010272812,0.313729994,92,85,85,71,1,11:43:40,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,46688,224.0.0.251,5353,0,MDNS,1739168020,0,0.008873331,0.008873331,0.322603325,93,85,85,71,1,11:43:40,0,4,20,0,1,0,0,0,anomaly
TpLinkPte_41:24:87,0,Broadcast,0,0,ARP,1739168020,0,0.006580435,0.006580435,0.32918376,94,42,42,0,0,11:43:40,0,0,0,0,0,0,6,4,anomaly
TpLinkPte_41:24:87,0,Broadcast,0,0,ARP,1739168020,0,0.000256411,0.000256411,0.329440171,95,42,42,0,0,11:43:40,0,0,0,0,0,0,6,4,anomaly
TpLinkPte_41:24:87,0,Broadcast,0,0,ARP,1739168020,0,0.00071539,0.00071539,0.330155561,96,42,42,0,0,11:43:40,0,0,0,0,0,0,6,4,anomaly
192.168.0.111,46958,224.0.0.251,5353,0,MDNS,1739168020,0,0.008475899,0.008475899,0.33863146,97,82,82,68,1,11:43:40,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,49885,224.0.0.251,5353,0,MDNS,1739168020,0,0.010621598,0.010621598,0.349253058,98,89,89,75,1,11:43:40,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,41141,224.0.0.251,5353,0,MDNS,1739168020,0,0.011904175,0.011904175,0.361157233,99,92,92,78,1,11:43:40,0,4,20,0,1,0,0,0,anomaly
TpLinkPte_41:24:87,0,Broadcast,0,0,ARP,1739168020,0,0.003068242,0.003068242,0.364225475,100,42,42,0,0,11:43:40,0,0,0,0,0,0,6,4,anomaly
TpLinkPte_41:24:87,0,Broadcast,0,0,ARP,1739168020,0,2.92E-05,2.92E-05,0.364254635,101,42,42,0,0,11:43:40,0,0,0,0,0,0,6,4,anomaly
TpLinkPte_41:24:87,0,Broadcast,0,0,ARP,1739168020,0,5.71E-06,5.71E-06,0.36426034,102,42,42,0,0,11:43:40,0,0,0,0,0,0,6,4,anomaly
192.168.0.111,38358,224.0.0.251,5353,0,MDNS,1739168020,0,0.010933885,0.010933885,0.375194225,103,88,88,74,1,11:43:40,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,0,224.0.0.22,0,0,IGMPv3,1739168020,0,0.00025177,0.00025177,0.375445995,104,54,54,40,1,11:43:40,0,4,24,0,1,0,0,0,normal
192.168.0.111,39634,224.0.0.251,5353,0,MDNS,1739168020,0,0.006396068,0.006396068,0.381842063,105,87,87,73,1,11:43:40,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,45809,224.0.0.251,5353,0,MDNS,1739168020,0,0.004150628,0.004150628,0.385992691,106,88,88,74,1,11:43:40,0,4,20,0,1,0,0,0,anomaly
Intel_54:87:d3,0,TpLinkPte_41:24:87,0,0,ARP,1739168020,0,0.003441276,0.003441276,0.389433967,107,42,42,0,0,11:43:40,0,0,0,0,0,0,6,4,anomaly
192.168.0.111,55800,224.0.0.251,5353,0,MDNS,1739168020,0,0.000193897,0.000193897,0.389627864,108,71,71,57,1,11:43:40,0,4,20,0,1,0,0,0,anomaly
TpLinkPte_41:24:87,0,Broadcast,0,0,ARP,1739168020,0,0.002048644,0.002048644,0.391676508,109,42,42,0,0,11:43:40,0,0,0,0,0,0,6,4,anomaly
TpLinkPte_41:24:87,0,Broadcast,0,0,ARP,1739168020,0,7.18E-05,7.18E-05,0.391748322,110,42,42,0,0,11:43:40,0,0,0,0,0,0,6,4,anomaly
192.168.0.111,44718,224.0.0.251,5353,0,MDNS,1739168020,0,0.002240069,0.002240069,0.393988391,111,81,81,67,1,11:43:40,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,33281,224.0.0.251,5353,0,MDNS,1739168020,0,0.004086755,0.004086755,0.398075146,112,85,85,71,1,11:43:40,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,54925,224.0.0.251,5353,0,MDNS,1739168020,0,0.003555622,0.003555622,0.401630768,113,85,85,71,1,11:43:40,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,42788,224.0.0.251,5353,0,MDNS,1739168020,0,0.004739921,0.004739921,0.406370689,114,82,82,68,1,11:43:40,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,35778,224.0.0.251,5353,0,MDNS,1739168020,0,0.00557568,0.00557568,0.411946369,115,89,89,75,1,11:43:40,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,49721,224.0.0.251,5353,0,MDNS,1739168020,0,0.003919749,0.003919749,0.415866118,116,92,92,78,1,11:43:40,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,38680,224.0.0.251,5353,0,MDNS,1739168020,0,0.003891426,0.003891426,0.419757544,117,88,88,74,1,11:43:40,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,60519,224.0.0.251,5353,0,MDNS,1739168020,0,0.003902574,0.003902574,0.423660118,118,87,87,73,1,11:43:40,0,4,20,0,1,0,0,0,anomaly
TpLinkPte_41:24:87,0,Broadcast,0,0,ARP,1739168020,0,5.54E-05,5.54E-05,0.423715551,119,42,42,0,0,11:43:40,0,0,0,0,0,0,6,4,anomaly
TpLinkPte_41:24:87,0,Broadcast,0,0,ARP,1739168020,0,5.74E-05,5.74E-05,0.423772925,120,42,42,0,0,11:43:40,0,0,0,0,0,0,6,4,anomaly
TpLinkPte_41:24:87,0,Broadcast,0,0,ARP,1739168020,0,1.02E-05,1.02E-05,0.423783128,121,42,42,0,0,11:43:40,0,0,0,0,0,0,6,4,anomaly
192.168.0.111,52344,224.0.0.251,5353,0,MDNS,1739168020,0,0.004029908,0.004029908,0.427813036,122,88,88,74,1,11:43:40,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,45973,224.0.0.251,5353,0,MDNS,1739168020,0,0.003798048,0.003798048,0.431611084,123,71,71,57,1,11:43:40,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,53128,224.0.0.251,5353,0,MDNS,1739168020,0,0.005169619,0.005169619,0.436780703,124,81,81,67,1,11:43:40,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,39510,224.0.0.251,5353,0,MDNS,1739168020,0,0.004093204,0.004093204,0.440873907,125,85,85,71,1,11:43:40,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,50074,224.0.0.251,5353,0,MDNS,1739168020,0,0.00386043,0.00386043,0.444734337,126,85,85,71,1,11:43:40,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,37404,224.0.0.251,5353,0,MDNS,1739168020,0,0.005150938,0.005150938,0.449885275,127,82,82,68,1,11:43:40,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,58411,224.0.0.251,5353,0,MDNS,1739168020,0,0.004953003,0.004953003,0.454838278,128,89,89,75,1,11:43:40,0,4,20,0,1,0,0,0,anomaly
TpLinkPte_41:24:87,0,Broadcast,0,0,ARP,1739168020,0,0.00137888,0.00137888,0.456217158,129,42,42,0,0,11:43:40,0,0,0,0,0,0,6,4,anomaly
TpLinkPte_41:24:87,0,Broadcast,0,0,ARP,1739168020,0,1.34E-05,1.34E-05,0.456230579,130,42,42,0,0,11:43:40,0,0,0,0,0,0,6,4,anomaly
TpLinkPte_41:24:87,0,Broadcast,0,0,ARP,1739168020,0,3.11E-05,3.11E-05,0.45626169,131,42,42,0,0,11:43:40,0,0,0,0,0,0,6,4,anomaly
192.168.0.111,58987,224.0.0.251,5353,0,MDNS,1739168020,0,0.00275343,0.00275343,0.45901512,132,92,92,78,1,11:43:40,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,37277,224.0.0.251,5353,0,MDNS,1739168020,0,0.003939146,0.003939146,0.462954266,133,88,88,74,1,11:43:40,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,34702,224.0.0.251,5353,0,MDNS,1739168020,0,0.004432049,0.004432049,0.467386315,134,87,87,73,1,11:43:40,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,51287,224.0.0.251,5353,0,MDNS,1739168020,0,0.003541943,0.003541943,0.470928258,135,88,88,74,1,11:43:40,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,35674,224.0.0.251,5353,0,MDNS,1739168020,0,0.003290711,0.003290711,0.474218969,136,71,71,57,1,11:43:40,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,40499,224.0.0.251,5353,0,MDNS,1739168020,0,0.003397815,0.003397815,0.477616784,137,81,81,67,1,11:43:40,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,56139,224.0.0.251,5353,0,MDNS,1739168020,0,0.004052812,0.004052812,0.481669596,138,85,85,71,1,11:43:40,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,55390,224.0.0.251,5353,0,MDNS,1739168020,0,0.00364409,0.00364409,0.485313686,139,85,85,71,1,11:43:40,0,4,20,0,1,0,0,0,anomaly
TpLinkPte_41:24:87,0,Broadcast,0,0,ARP,1739168020,0,0.002776903,0.002776903,0.488090589,140,42,42,0,0,11:43:40,0,0,0,0,0,0,6,4,anomaly
TpLinkPte_41:24:87,0,Broadcast,0,0,ARP,1739168020,0,1.09E-05,1.09E-05,0.488101502,141,42,42,0,0,11:43:40,0,0,0,0,0,0,6,4,anomaly
192.168.0.111,34546,224.0.0.251,5353,0,MDNS,1739168020,0,0.000410829,0.000410829,0.488512331,142,82,82,68,1,11:43:40,0,4,20,0,1,0,0,0,anomaly
Intel_54:87:d3,0,TpLinkPte_41:24:87,0,0,ARP,1739168020,0,0.00319699,0.00319699,0.491709321,143,42,42,0,0,11:43:40,0,0,0,0,0,0,6,4,anomaly
TpLinkPte_41:24:87,0,Broadcast,0,0,ARP,1739168020,0,0.000106925,0.000106925,0.491816246,144,42,42,0,0,11:43:40,0,0,0,0,0,0,6,4,anomaly
192.168.0.111,52648,224.0.0.251,5353,0,MDNS,1739168020,0,6.01E-05,6.01E-05,0.491876335,145,89,89,75,1,11:43:40,0,4,20,0,1,0,0,0,anomaly
